Work directory is: /afs/cern.ch/work/e/egraveri/public/SHiP/HNL-Sensitivity-batch/sandbox
Scanning model 1...
Loaded 11391 previous data points.
Scanning number of events on 27089 phase-space points
Point 0 of 27089: 	 log10(mass) -0.99 	 log10(U2) -7.0 		 Events: 0.022
Point 250 of 27089: 	 log10(mass) -0.98 	 log10(U2) -6.0 		 Events: 1.5
Point 500 of 27089: 	 log10(mass) -0.96 	 log10(U2) -5.1 		 Events: 77.0
Point 750 of 27089: 	 log10(mass) -0.94 	 log10(U2) -4.3 		 Events: 4300.0
Point 1000 of 27089: 	 log10(mass) -0.92 	 log10(U2) -6.4 		 Events: 1.2
Point 1250 of 27089: 	 log10(mass) -0.9 	 log10(U2) -5.8 		 Events: 35.0
Point 1500 of 27089: 	 log10(mass) -0.88 	 log10(U2) -5.1 		 Events: 810.0
Point 1750 of 27089: 	 log10(mass) -0.87 	 log10(U2) -4.5 		 Events: 13000.0
Point 2000 of 27089: 	 log10(mass) -0.84 	 log10(U2) -6.9 		 Events: 0.15
Point 2250 of 27089: 	 log10(mass) -0.83 	 log10(U2) -6.5 		 Events: 2.3
Point 2500 of 27089: 	 log10(mass) -0.81 	 log10(U2) -6.1 		 Events: 10.0
Point 2750 of 27089: 	 log10(mass) -0.79 	 log10(U2) -5.7 		 Events: 290.0
Point 3000 of 27089: 	 log10(mass) -0.78 	 log10(U2) -5.4 		 Events: 3000.0
Point 3250 of 27089: 	 log10(mass) -0.76 	 log10(U2) -5.1 		 Events: 8000.0
Point 3500 of 27089: 	 log10(mass) -0.74 	 log10(U2) -5.0 		 Events: 48000.0
Point 3750 of 27089: 	 log10(mass) -0.72 	 log10(U2) -4.8 		 Events: 160000.0
Point 4000 of 27089: 	 log10(mass) -0.71 	 log10(U2) -4.8 		 Events: 600000.0
Point 4250 of 27089: 	 log10(mass) -0.69 	 log10(U2) -4.7 		 Events: 910000.0
Point 4500 of 27089: 	 log10(mass) -0.67 	 log10(U2) -4.7 		 Events: 910000.0
Point 4750 of 27089: 	 log10(mass) -0.65 	 log10(U2) -4.8 		 Events: 600000.0
Point 5000 of 27089: 	 log10(mass) -0.64 	 log10(U2) -4.9 		 Events: 490000.0
Point 5250 of 27089: 	 log10(mass) -0.62 	 log10(U2) -5.1 		 Events: 320000.0
Point 5500 of 27089: 	 log10(mass) -0.6 	 log10(U2) -5.3 		 Events: 160000.0
Point 5750 of 27089: 	 log10(mass) -0.59 	 log10(U2) -5.6 		 Events: 65000.0
Point 6000 of 27089: 	 log10(mass) -0.57 	 log10(U2) -6.0 		 Events: 12000.0
Point 6250 of 27089: 	 log10(mass) -0.55 	 log10(U2) -6.4 		 Events: 3300.0
Point 6500 of 27089: 	 log10(mass) -0.53 	 log10(U2) -6.9 		 Events: 400.0
Point 6750 of 27089: 	 log10(mass) -0.52 	 log10(U2) -7.4 		 Events: 64.0
Point 7000 of 27089: 	 log10(mass) -0.5 	 log10(U2) -8.0 		 Events: 6.0
Point 7250 of 27089: 	 log10(mass) -0.49 	 log10(U2) -5.2 		 Events: 3700000.0
Point 7500 of 27089: 	 log10(mass) -0.47 	 log10(U2) -5.9 		 Events: 100000.0
Point 7750 of 27089: 	 log10(mass) -0.45 	 log10(U2) -6.6 		 Events: 6900.0
Point 8000 of 27089: 	 log10(mass) -0.44 	 log10(U2) -7.4 		 Events: 260.0
Point 8250 of 27089: 	 log10(mass) -0.42 	 log10(U2) -8.2 		 Events: 4.1
Point 8500 of 27089: 	 log10(mass) -0.41 	 log10(U2) -5.6 		 Events: 1300000.0
Point 8750 of 27089: 	 log10(mass) -0.39 	 log10(U2) -6.6 		 Events: 24000.0
Point 9000 of 27089: 	 log10(mass) -0.37 	 log10(U2) -7.5 		 Events: 340.0
Point 9250 of 27089: 	 log10(mass) -0.35 	 log10(U2) -8.5 		 Events: 6.1
Point 9500 of 27089: 	 log10(mass) -0.34 	 log10(U2) -6.1 		 Events: 400000.0
Point 9750 of 27089: 	 log10(mass) -0.33 	 log10(U2) -7.2 		 Events: 4000.0
Point 10000 of 27089: 	 log10(mass) -0.31 	 log10(U2) -8.4 		 Events: 18.0
Point 10250 of 27089: 	 log10(mass) -0.3 	 log10(U2) -6.0 		 Events: 880000.0
Point 10500 of 27089: 	 log10(mass) -0.28 	 log10(U2) -7.3 		 Events: 5000.0
Point 10750 of 27089: 	 log10(mass) -0.26 	 log10(U2) -8.6 		 Events: 12.0
Point 11000 of 27089: 	 log10(mass) -0.25 	 log10(U2) -6.3 		 Events: 500000.0
Point 11250 of 27089: 	 log10(mass) -0.23 	 log10(U2) -7.8 		 Events: 830.0
Point 11500 of 27089: 	 log10(mass) -0.22 	 log10(U2) -5.5 		 Events: 28000000.0
Point 11750 of 27089: 	 log10(mass) -0.2 	 log10(U2) -7.1 		 Events: 27000.0
Point 12000 of 27089: 	 log10(mass) -0.19 	 log10(U2) -8.6 		 Events: 25.0
Point 12250 of 27089: 	 log10(mass) -0.18 	 log10(U2) -6.5 		 Events: 590000.0
Point 12500 of 27089: 	 log10(mass) -0.16 	 log10(U2) -8.2 		 Events: 250.0
Point 12750 of 27089: 	 log10(mass) -0.15 	 log10(U2) -6.1 		 Events: 3500000.0
