Work directory is: /afs/cern.ch/work/e/egraveri/public/SHiP/HNL-Sensitivity-batch/sandbox
Scanning model 2...
Loaded 12309 previous data points.
Scanning number of events on 29213 phase-space points
Point 0 of 29213: 	 log10(mass) -0.99 	 log10(U2) -7.0 		 Events: 0.00089
Point 250 of 29213: 	 log10(mass) -0.98 	 log10(U2) -6.1 		 Events: 0.053
Point 500 of 29213: 	 log10(mass) -0.96 	 log10(U2) -5.2 		 Events: 3.4
Point 750 of 29213: 	 log10(mass) -0.94 	 log10(U2) -4.4 		 Events: 150.0
Point 1000 of 29213: 	 log10(mass) -0.92 	 log10(U2) -6.6 		 Events: 0.44
Point 1250 of 29213: 	 log10(mass) -0.9 	 log10(U2) -5.9 		 Events: 8.0
Point 1500 of 29213: 	 log10(mass) -0.89 	 log10(U2) -5.3 		 Events: 150.0
Point 1750 of 29213: 	 log10(mass) -0.87 	 log10(U2) -4.7 		 Events: 2200.0
Point 2000 of 29213: 	 log10(mass) -0.85 	 log10(U2) -7.2 		 Events: 0.02
Point 2250 of 29213: 	 log10(mass) -0.83 	 log10(U2) -6.8 		 Events: 0.14
Point 2500 of 29213: 	 log10(mass) -0.81 	 log10(U2) -6.4 		 Events: 0.67
Point 2750 of 29213: 	 log10(mass) -0.79 	 log10(U2) -6.1 		 Events: 5.1
Point 3000 of 29213: 	 log10(mass) -0.78 	 log10(U2) -5.9 		 Events: 27.0
Point 3250 of 29213: 	 log10(mass) -0.76 	 log10(U2) -5.7 		 Events: 79.0
Point 3500 of 29213: 	 log10(mass) -0.74 	 log10(U2) -5.6 		 Events: 240.0
Point 3750 of 29213: 	 log10(mass) -0.72 	 log10(U2) -5.5 		 Events: 740.0
Point 4000 of 29213: 	 log10(mass) -0.71 	 log10(U2) -5.5 		 Events: 1600.0
Point 4250 of 29213: 	 log10(mass) -0.69 	 log10(U2) -5.5 		 Events: 1200.0
Point 4500 of 29213: 	 log10(mass) -0.67 	 log10(U2) -5.6 		 Events: 1600.0
Point 4750 of 29213: 	 log10(mass) -0.66 	 log10(U2) -5.8 		 Events: 460.0
Point 5000 of 29213: 	 log10(mass) -0.64 	 log10(U2) -6.0 		 Events: 310.0
Point 5250 of 29213: 	 log10(mass) -0.62 	 log10(U2) -6.3 		 Events: 330.0
Point 5500 of 29213: 	 log10(mass) -0.6 	 log10(U2) -6.6 		 Events: 200.0
Point 5750 of 29213: 	 log10(mass) -0.59 	 log10(U2) -7.0 		 Events: 34.0
Point 6000 of 29213: 	 log10(mass) -0.57 	 log10(U2) -7.5 		 Events: 3.3
Point 6250 of 29213: 	 log10(mass) -0.55 	 log10(U2) -8.0 		 Events: 0.8
Point 6500 of 29213: 	 log10(mass) -0.54 	 log10(U2) -8.6 		 Events: 0.088
Point 6750 of 29213: 	 log10(mass) -0.52 	 log10(U2) -5.8 		 Events: 51000.0
Point 7000 of 29213: 	 log10(mass) -0.51 	 log10(U2) -6.5 		 Events: 4000.0
Point 7250 of 29213: 	 log10(mass) -0.49 	 log10(U2) -7.3 		 Events: 140.0
Point 7500 of 29213: 	 log10(mass) -0.47 	 log10(U2) -8.0 		 Events: 5.3
Point 7750 of 29213: 	 log10(mass) -0.46 	 log10(U2) -8.9 		 Events: 0.13
Point 8000 of 29213: 	 log10(mass) -0.44 	 log10(U2) -6.3 		 Events: 23000.0
Point 8250 of 29213: 	 log10(mass) -0.43 	 log10(U2) -7.3 		 Events: 340.0
Point 8500 of 29213: 	 log10(mass) -0.41 	 log10(U2) -8.2 		 Events: 5.9
Point 8750 of 29213: 	 log10(mass) -0.39 	 log10(U2) -9.3 		 Events: 0.11
Point 9000 of 29213: 	 log10(mass) -0.38 	 log10(U2) -6.8 		 Events: 8200.0
Point 9250 of 29213: 	 log10(mass) -0.36 	 log10(U2) -8.0 		 Events: 43.0
Point 9500 of 29213: 	 log10(mass) -0.35 	 log10(U2) -9.2 		 Events: 0.23
Point 9750 of 29213: 	 log10(mass) -0.34 	 log10(U2) -6.8 		 Events: 11000.0
Point 10000 of 29213: 	 log10(mass) -0.32 	 log10(U2) -8.1 		 Events: 51.0
Point 10250 of 29213: 	 log10(mass) -0.3 	 log10(U2) -9.5 		 Events: 0.085
Point 10500 of 29213: 	 log10(mass) -0.29 	 log10(U2) -7.3 		 Events: 3400.0
Point 10750 of 29213: 	 log10(mass) -0.27 	 log10(U2) -8.7 		 Events: 5.6
Point 11000 of 29213: 	 log10(mass) -0.26 	 log10(U2) -6.5 		 Events: 150000.0
Point 11250 of 29213: 	 log10(mass) -0.24 	 log10(U2) -8.1 		 Events: 110.0
Point 11500 of 29213: 	 log10(mass) -0.23 	 log10(U2) -9.7 		 Events: 0.096
Point 11750 of 29213: 	 log10(mass) -0.21 	 log10(U2) -7.6 		 Events: 1400.0
Point 12000 of 29213: 	 log10(mass) -0.2 	 log10(U2) -9.4 		 Events: 0.54
Point 12250 of 29213: 	 log10(mass) -0.19 	 log10(U2) -7.3 		 Events: 8200.0
Point 12500 of 29213: 	 log10(mass) -0.17 	 log10(U2) -9.2 		 Events: 1.7
Point 12750 of 29213: 	 log10(mass) -0.16 	 log10(U2) -7.2 		 Events: 20000.0
Point 13000 of 29213: 	 log10(mass) -0.14 	 log10(U2) -9.1 		 Events: 4.4
Point 13250 of 29213: 	 log10(mass) -0.13 	 log10(U2) -7.3 		 Events: 19000.0
Point 13500 of 29213: 	 log10(mass) -0.11 	 log10(U2) -9.2 		 Events: 3.3
Point 13750 of 29213: 	 log10(mass) -0.1 	 log10(U2) -7.4 		 Events: 16000.0
