Work directory is: /afs/cern.ch/work/e/egraveri/public/SHiP/HNL-Sensitivity-batch/sandbox
Scanning model 3...
Loaded 13256 previous data points.
Scanning number of events on 149854 phase-space points
Point 0 of 149854: 	 log10(mass) -1.0 	 log10(U2) -7.0 		 Events: 4.1e-05
Point 250 of 149854: 	 log10(mass) -1.0 	 log10(U2) -5.8 		 Events: 0.0063
Point 500 of 149854: 	 log10(mass) -0.99 	 log10(U2) -4.7 		 Events: 1.7
Point 750 of 149854: 	 log10(mass) -0.99 	 log10(U2) -6.4 		 Events: 0.00055
Point 1000 of 149854: 	 log10(mass) -0.99 	 log10(U2) -5.3 		 Events: 0.12
Point 1250 of 149854: 	 log10(mass) -0.98 	 log10(U2) -7.0 		 Events: 4.1e-05
Point 1500 of 149854: 	 log10(mass) -0.98 	 log10(U2) -5.9 		 Events: 0.0059
Point 1750 of 149854: 	 log10(mass) -0.98 	 log10(U2) -4.8 		 Events: 1.4
Point 2000 of 149854: 	 log10(mass) -0.97 	 log10(U2) -6.5 		 Events: 0.00048
Point 2250 of 149854: 	 log10(mass) -0.97 	 log10(U2) -5.4 		 Events: 0.076
Point 2500 of 149854: 	 log10(mass) -0.97 	 log10(U2) -4.3 		 Events: 12.0
Point 2750 of 149854: 	 log10(mass) -0.96 	 log10(U2) -6.1 		 Events: 0.003
Point 3000 of 149854: 	 log10(mass) -0.96 	 log10(U2) -4.9 		 Events: 0.61
Point 3250 of 149854: 	 log10(mass) -0.95 	 log10(U2) -6.7 		 Events: 0.00014
Point 3500 of 149854: 	 log10(mass) -0.95 	 log10(U2) -5.6 		 Events: 0.02
Point 3750 of 149854: 	 log10(mass) -0.95 	 log10(U2) -4.5 		 Events: 2.8
Point 4000 of 149854: 	 log10(mass) -0.95 	 log10(U2) -6.3 		 Events: 0.00079
Point 4250 of 149854: 	 log10(mass) -0.94 	 log10(U2) -5.3 		 Events: 0.12
Point 4500 of 149854: 	 log10(mass) -0.94 	 log10(U2) -7.1 		 Events: 0.0031
Point 4750 of 149854: 	 log10(mass) -0.94 	 log10(U2) -6.0 		 Events: 0.36
Point 5000 of 149854: 	 log10(mass) -0.93 	 log10(U2) -4.9 		 Events: 40.0
Point 5250 of 149854: 	 log10(mass) -0.93 	 log10(U2) -6.8 		 Events: 0.0085
Point 5500 of 149854: 	 log10(mass) -0.93 	 log10(U2) -5.7 		 Events: 1.1
Point 5750 of 149854: 	 log10(mass) -0.92 	 log10(U2) -4.6 		 Events: 190.0
Point 6000 of 149854: 	 log10(mass) -0.92 	 log10(U2) -6.5 		 Events: 0.033
Point 6250 of 149854: 	 log10(mass) -0.92 	 log10(U2) -5.4 		 Events: 4.3
Point 6500 of 149854: 	 log10(mass) -0.91 	 log10(U2) -7.4 		 Events: 0.00076
Point 6750 of 149854: 	 log10(mass) -0.91 	 log10(U2) -6.3 		 Events: 0.08
Point 7000 of 149854: 	 log10(mass) -0.91 	 log10(U2) -5.3 		 Events: 10.0
Point 7250 of 149854: 	 log10(mass) -0.9 	 log10(U2) -7.2 		 Events: 0.0018
Point 7500 of 149854: 	 log10(mass) -0.9 	 log10(U2) -6.1 		 Events: 0.15
Point 7750 of 149854: 	 log10(mass) -0.9 	 log10(U2) -5.1 		 Events: 21.0
Point 8000 of 149854: 	 log10(mass) -0.89 	 log10(U2) -7.0 		 Events: 0.0033
Point 8250 of 149854: 	 log10(mass) -0.89 	 log10(U2) -6.0 		 Events: 0.23
Point 8500 of 149854: 	 log10(mass) -0.89 	 log10(U2) -4.9 		 Events: 36.0
Point 8750 of 149854: 	 log10(mass) -0.88 	 log10(U2) -6.9 		 Events: 0.0052
Point 9000 of 149854: 	 log10(mass) -0.88 	 log10(U2) -5.9 		 Events: 0.4
Point 9250 of 149854: 	 log10(mass) -0.88 	 log10(U2) -4.9 		 Events: 52.0
Point 9500 of 149854: 	 log10(mass) -0.87 	 log10(U2) -6.8 		 Events: 0.0064
Point 9750 of 149854: 	 log10(mass) -0.87 	 log10(U2) -5.8 		 Events: 0.61
Point 10000 of 149854: 	 log10(mass) -0.87 	 log10(U2) -4.8 		 Events: 56.0
Point 10250 of 149854: 	 log10(mass) -0.86 	 log10(U2) -6.8 		 Events: 0.0059
Point 10500 of 149854: 	 log10(mass) -0.86 	 log10(U2) -5.8 		 Events: 0.55
Point 10750 of 149854: 	 log10(mass) -0.86 	 log10(U2) -4.8 		 Events: 56.0
Point 11000 of 149854: 	 log10(mass) -0.85 	 log10(U2) -6.8 		 Events: 0.0048
Point 11250 of 149854: 	 log10(mass) -0.85 	 log10(U2) -5.8 		 Events: 0.49
Point 11500 of 149854: 	 log10(mass) -0.85 	 log10(U2) -4.8 		 Events: 56.0
Point 11750 of 149854: 	 log10(mass) -0.85 	 log10(U2) -6.9 		 Events: 0.0044
Point 12000 of 149854: 	 log10(mass) -0.84 	 log10(U2) -5.9 		 Events: 0.28
Point 12250 of 149854: 	 log10(mass) -0.84 	 log10(U2) -4.9 		 Events: 30.0
Point 12500 of 149854: 	 log10(mass) -0.84 	 log10(U2) -7.0 		 Events: 0.0024
Point 12750 of 149854: 	 log10(mass) -0.83 	 log10(U2) -6.1 		 Events: 0.15
Point 13000 of 149854: 	 log10(mass) -0.83 	 log10(U2) -5.1 		 Events: 17.0
Point 13250 of 149854: 	 log10(mass) -0.83 	 log10(U2) -7.2 		 Events: 0.0012
Point 13500 of 149854: 	 log10(mass) -0.82 	 log10(U2) -6.2 		 Events: 0.07
Point 13750 of 149854: 	 log10(mass) -0.82 	 log10(U2) -5.3 		 Events: 6.7
Point 14000 of 149854: 	 log10(mass) -0.82 	 log10(U2) -7.4 		 Events: 0.00053
Point 14250 of 149854: 	 log10(mass) -0.81 	 log10(U2) -6.4 		 Events: 0.027
Point 14500 of 149854: 	 log10(mass) -0.81 	 log10(U2) -5.5 		 Events: 2.2
Point 14750 of 149854: 	 log10(mass) -0.81 	 log10(U2) -7.6 		 Events: 0.0002
Point 15000 of 149854: 	 log10(mass) -0.8 	 log10(U2) -6.7 		 Events: 0.016
Point 15250 of 149854: 	 log10(mass) -0.8 	 log10(U2) -5.7 		 Events: 1.2
Point 15500 of 149854: 	 log10(mass) -0.8 	 log10(U2) -4.8 		 Events: 69.0
Point 15750 of 149854: 	 log10(mass) -0.8 	 log10(U2) -7.0 		 Events: 0.0034
Point 16000 of 149854: 	 log10(mass) -0.79 	 log10(U2) -6.1 		 Events: 0.24
Point 16250 of 149854: 	 log10(mass) -0.79 	 log10(U2) -5.1 		 Events: 18.0
Point 16500 of 149854: 	 log10(mass) -0.79 	 log10(U2) -7.3 		 Events: 0.00078
Point 16750 of 149854: 	 log10(mass) -0.78 	 log10(U2) -6.4 		 Events: 0.051
Point 17000 of 149854: 	 log10(mass) -0.78 	 log10(U2) -5.5 		 Events: 6.5
Point 17250 of 149854: 	 log10(mass) -0.78 	 log10(U2) -7.7 		 Events: 0.0003
Point 17500 of 149854: 	 log10(mass) -0.77 	 log10(U2) -6.8 		 Events: 0.019
Point 17750 of 149854: 	 log10(mass) -0.77 	 log10(U2) -5.9 		 Events: 0.94
Point 18000 of 149854: 	 log10(mass) -0.77 	 log10(U2) -5.0 		 Events: 68.0
Point 18250 of 149854: 	 log10(mass) -0.76 	 log10(U2) -7.2 		 Events: 0.0022
Point 18500 of 149854: 	 log10(mass) -0.76 	 log10(U2) -6.3 		 Events: 0.096
Point 18750 of 149854: 	 log10(mass) -0.76 	 log10(U2) -5.5 		 Events: 9.3
Point 19000 of 149854: 	 log10(mass) -0.75 	 log10(U2) -7.7 		 Events: 0.00051
Point 19250 of 149854: 	 log10(mass) -0.75 	 log10(U2) -6.8 		 Events: 0.023
Point 19500 of 149854: 	 log10(mass) -0.75 	 log10(U2) -6.0 		 Events: 1.8
Point 19750 of 149854: 	 log10(mass) -0.75 	 log10(U2) -5.1 		 Events: 91.0
Point 20000 of 149854: 	 log10(mass) -0.74 	 log10(U2) -7.4 		 Events: 0.0024
Point 20250 of 149854: 	 log10(mass) -0.74 	 log10(U2) -6.5 		 Events: 0.19
Point 20500 of 149854: 	 log10(mass) -0.74 	 log10(U2) -5.6 		 Events: 7.1
Point 20750 of 149854: 	 log10(mass) -0.73 	 log10(U2) -7.9 		 Events: 0.00017
Point 21000 of 149854: 	 log10(mass) -0.73 	 log10(U2) -7.1 		 Events: 0.015
Point 21250 of 149854: 	 log10(mass) -0.73 	 log10(U2) -6.2 		 Events: 0.71
Point 21500 of 149854: 	 log10(mass) -0.73 	 log10(U2) -5.4 		 Events: 38.0
Point 21750 of 149854: 	 log10(mass) -0.72 	 log10(U2) -7.7 		 Events: 0.00092
